record_id,noise_type,target_snr_db,global_achieved_snr_db,n_beats,pre_median_snr_db,pre_p05_snr_db,pre_p95_snr_db,post_median_snr_db,post_p05_snr_db,post_p95_snr_db,normalization_median_shift_db
100,bw,18.0,18.0,2271,37.31139481267329,26.063828702852103,47.94226150726682,37.45687316664192,26.23113262874335,48.06890774597149,0.14547835396862752
100,bw,12.0,12.0,2271,31.311394812673296,20.0638287028521,41.942261507266814,31.45857180759191,20.26079550934429,42.0745814196069,0.14717699491861325
100,bw,6.0,6.000000000000001,2271,25.311394812673296,14.063828702852103,35.94226150726682,25.455168527856156,14.326728429790318,36.085165532435376,0.14377371518285997
100,bw,0.0,0.0,2271,19.311394812673296,8.063828702852103,29.94226150726681,19.477192911523787,8.766677022638758,30.103892145881808,0.16579809885049102
100,bw,-6.0,-6.0,2271,13.311394812673296,2.063828702852103,23.94226150726681,13.570413554871585,3.8336044786297236,24.163127104666003,0.2590187421982897
100,ma,18.0,18.0,2271,27.667609418778902,18.65478827759018,39.98670176127959,27.77283349656003,18.69201409220362,40.024341578205465,0.10522407778112708
100,ma,12.0,12.0,2271,21.6676094187789,12.654788277590178,33.98670176127959,21.801764687904168,12.786022120556666,34.035319552893895,0.13415526912526943
100,ma,6.0,6.000000000000002,2271,15.667609418778902,6.65478827759018,27.986701761279594,15.888628821520076,7.199185272576801,28.037199273553057,0.22101940274117382
100,ma,0.0,0.0,2271,9.6676094187789,0.6547882775901782,21.98670176127959,10.150235941940323,2.518724619482504,22.048176972559872,0.4826265231614233
100,ma,-6.0,-6.0,2271,3.667609418778901,-5.34521172240982,15.986701761279594,4.980875068626319,-0.6038563843705178,16.055409747351362,1.313265649847418
100,em,18.0,18.0,2271,25.699646583265036,21.03475854665902,30.70980505593222,25.81791992987389,21.178929909084967,30.81771065335935,0.11827334660885569
100,em,12.0,12.0,2271,19.699646583265036,15.03475854665902,24.70980505593222,19.852259162314667,15.272562223679301,24.831362242891487,0.15261257904963088
100,em,6.0,6.0,2271,13.699646583265036,9.03475854665902,18.709805055932225,13.966285561499276,9.526528853664058,18.82632891354646,0.26663897823424065
100,em,0.0,0.0,2271,7.699646583265034,3.0347585466590203,12.709805055932225,8.384065840571317,4.305809787226926,13.014756896522277,0.6844192573062831
100,em,-6.0,-6.0,2271,1.6996465832650367,-2.9652414533409788,6.7098050559322235,3.5559149457927672,0.44365444073974164,7.498912766008716,1.8562683625277305
