configuration,seed,condition,noise_type,target_snr_db,exposure,class_name,precision,recall,f1,support
clean_rr,2026,bw_12db,bw,12.0,unseen_snr,V,0.3231939163498099,0.9398034398034398,0.48098082364036465,814
clean_rr,2026,bw_12db,bw,12.0,unseen_snr,F,0.07407407407407407,0.06451612903225806,0.06896551724137931,31
noise_augmented_rr,42,bw_12db,bw,12.0,unseen_snr,N,0.9641420526376279,0.863332304209118,0.9109566728200673,9717
noise_augmented_rr,42,bw_12db,bw,12.0,unseen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,42,bw_12db,bw,12.0,unseen_snr,V,0.30710659898477155,0.7432432432432432,0.43462643678160917,814
noise_augmented_rr,42,bw_12db,bw,12.0,unseen_snr,F,0.023255813953488372,0.06451612903225806,0.03418803418803419,31
noise_augmented_rr,123,bw_12db,bw,12.0,unseen_snr,N,0.9699749791492911,0.8378100236698569,0.89906129210381,9717
noise_augmented_rr,123,bw_12db,bw,12.0,unseen_snr,S,0.045454545454545456,0.005025125628140704,0.00904977375565611,199
noise_augmented_rr,123,bw_12db,bw,12.0,unseen_snr,V,0.28368489022815324,0.8095823095823096,0.4201466369142493,814
noise_augmented_rr,123,bw_12db,bw,12.0,unseen_snr,F,0.17391304347826086,0.12903225806451613,0.14814814814814814,31
noise_augmented_rr,2026,bw_12db,bw,12.0,unseen_snr,N,0.9574489692292069,0.9702583101780385,0.9638110815784093,9717
noise_augmented_rr,2026,bw_12db,bw,12.0,unseen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,bw_12db,bw,12.0,unseen_snr,V,0.5601750547045952,0.628992628992629,0.5925925925925926,814
noise_augmented_rr,2026,bw_12db,bw,12.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,42,bw_6db,bw,6.0,seen_snr,N,0.963613285381849,0.9375321601317279,0.9503938240050076,9717
clean_rr,42,bw_6db,bw,6.0,seen_snr,S,0.05063291139240506,0.04020100502512563,0.04481792717086835,199
clean_rr,42,bw_6db,bw,6.0,seen_snr,V,0.4820647419072616,0.6769041769041769,0.5631067961165048,814
clean_rr,42,bw_6db,bw,6.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,123,bw_6db,bw,6.0,seen_snr,N,0.9451104726047755,0.9816815889677885,0.9630489651691065,9717
clean_rr,123,bw_6db,bw,6.0,seen_snr,S,0.045454545454545456,0.04020100502512563,0.042666666666666665,199
clean_rr,123,bw_6db,bw,6.0,seen_snr,V,0.6625766871165644,0.39803439803439805,0.49731389102072143,814
clean_rr,123,bw_6db,bw,6.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,2026,bw_6db,bw,6.0,seen_snr,N,0.9792161520190024,0.848512915508902,0.9091911562000331,9717
clean_rr,2026,bw_6db,bw,6.0,seen_snr,S,0.0625,0.005025125628140704,0.009302325581395349,199
clean_rr,2026,bw_6db,bw,6.0,seen_snr,V,0.32037996545768566,0.9115479115479116,0.4741214057507987,814
clean_rr,2026,bw_6db,bw,6.0,seen_snr,F,0.1111111111111111,0.03225806451612903,0.05,31
noise_augmented_rr,42,bw_6db,bw,6.0,seen_snr,N,0.9624985751738288,0.8689924873932283,0.9133585722011899,9717
noise_augmented_rr,42,bw_6db,bw,6.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,42,bw_6db,bw,6.0,seen_snr,V,0.30732984293193716,0.7211302211302212,0.4309838472834068,814
noise_augmented_rr,42,bw_6db,bw,6.0,seen_snr,F,0.04054054054054054,0.0967741935483871,0.05714285714285714,31
noise_augmented_rr,123,bw_6db,bw,6.0,seen_snr,N,0.9687202664129401,0.8382216733559741,0.8987586206896552,9717
noise_augmented_rr,123,bw_6db,bw,6.0,seen_snr,S,0.034482758620689655,0.005025125628140704,0.008771929824561403,199
noise_augmented_rr,123,bw_6db,bw,6.0,seen_snr,V,0.2809917355371901,0.7936117936117936,0.415033729521362,814
noise_augmented_rr,123,bw_6db,bw,6.0,seen_snr,F,0.12,0.0967741935483871,0.10714285714285714,31
noise_augmented_rr,2026,bw_6db,bw,6.0,seen_snr,N,0.9546145274035052,0.9697437480703921,0.9621196651010823,9717
noise_augmented_rr,2026,bw_6db,bw,6.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,bw_6db,bw,6.0,seen_snr,V,0.5438202247191011,0.5945945945945946,0.568075117370892,814
noise_augmented_rr,2026,bw_6db,bw,6.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,42,bw_0db,bw,0.0,unseen_snr,N,0.9507820646506778,0.9383554595039622,0.9445278914383384,9717
clean_rr,42,bw_0db,bw,0.0,unseen_snr,S,0.017482517482517484,0.02512562814070352,0.020618556701030927,199
clean_rr,42,bw_0db,bw,0.0,unseen_snr,V,0.47005649717514125,0.5110565110565111,0.4896998234255444,814
clean_rr,42,bw_0db,bw,0.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,123,bw_0db,bw,0.0,unseen_snr,N,0.9380513430468828,0.9739631573530925,0.955669998990205,9717
clean_rr,123,bw_0db,bw,0.0,unseen_snr,S,0.02214022140221402,0.03015075376884422,0.02553191489361702,199
clean_rr,123,bw_0db,bw,0.0,unseen_snr,V,0.6390977443609023,0.3132678132678133,0.42044517724649627,814
clean_rr,123,bw_0db,bw,0.0,unseen_snr,F,0.5,0.03225806451612903,0.06060606060606061,31
clean_rr,2026,bw_0db,bw,0.0,unseen_snr,N,0.9727558505064617,0.8598332818771226,0.9128154703375942,9717
clean_rr,2026,bw_0db,bw,0.0,unseen_snr,S,0.09523809523809523,0.010050251256281407,0.01818181818181818,199
clean_rr,2026,bw_0db,bw,0.0,unseen_snr,V,0.31627906976744186,0.8353808353808354,0.45883940620782726,814
clean_rr,2026,bw_0db,bw,0.0,unseen_snr,F,1.0,0.03225806451612903,0.0625,31
noise_augmented_rr,42,bw_0db,bw,0.0,unseen_snr,N,0.9588568886912042,0.8874138108469692,0.9217530732228755,9717
noise_augmented_rr,42,bw_0db,bw,0.0,unseen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,42,bw_0db,bw,0.0,unseen_snr,V,0.319533527696793,0.6732186732186732,0.4333728746540134,814
noise_augmented_rr,42,bw_0db,bw,0.0,unseen_snr,F,0.04,0.06451612903225806,0.04938271604938271,31
noise_augmented_rr,123,bw_0db,bw,0.0,unseen_snr,N,0.9641762903605939,0.8420294329525574,0.8989726968082185,9717
noise_augmented_rr,123,bw_0db,bw,0.0,unseen_snr,S,0.02702702702702703,0.005025125628140704,0.00847457627118644,199
