record_id,noise_type,target_snr_db,method,median_input_snr_db,p05_input_snr_db,p95_input_snr_db,median_correlation,improvement_vs_no_denoising_db
100,clean,,bandpass,18.16228861872967,15.397233386044995,22.074886628820394,0.9923661936465347,
100,clean,,wavelet,22.7889624200778,21.47756640382311,24.567698977807126,0.9973692850287125,
100,bw,18.0,none,37.45687316664192,26.23113262874335,48.06890774597149,0.9999101986820986,0.0
100,bw,18.0,bandpass,18.14219149858315,15.341916373809168,22.06121898461787,0.9923307858119681,-19.31468166805877
100,bw,18.0,wavelet,22.479040208563077,20.54408687346265,24.30767909432933,0.9971746906866343,-14.977832958078842
100,bw,12.0,none,31.45857180759191,20.26079550934429,42.0745814196069,0.9996426343544759,0.0
100,bw,12.0,bandpass,18.08722301202504,15.110888428922758,21.924235307135064,0.992233100012794,-13.37134879556687
100,bw,12.0,wavelet,22.001253671096613,17.910363527469848,23.96660420068929,0.9968461239822909,-9.457318136495296
100,bw,6.0,none,25.455168527856156,14.326728429790318,36.085165532435376,0.9985761863364677,0.0
100,bw,6.0,bandpass,17.9109331649196,14.633380906834084,21.705334257088452,0.9919113384191577,-7.544235362936554
100,bw,6.0,wavelet,20.897976374134014,13.50295848784976,23.46846190177527,0.9959339532127467,-4.557192153722141
100,bw,0.0,none,19.477192911523787,8.766677022638758,30.103892145881808,0.9943603689845677,0.0
100,bw,0.0,bandpass,17.425112526001893,13.302827205134118,21.17968714231148,0.9909539545796151,-2.0520803855218936
100,bw,0.0,wavelet,17.94063082034191,8.26204438993046,22.541992245138136,0.991966459814374,-1.536562091181878
100,bw,-6.0,none,13.570413554871585,3.8336044786297236,24.163127104666003,0.9780250125147705,0.0
100,bw,-6.0,bandpass,16.104084800837583,10.074959288711092,19.814522096410787,0.9877379943019544,2.533671245965998
100,bw,-6.0,wavelet,13.185878802333653,3.5443430194334575,20.620778919105433,0.9759905561154508,-0.3845347525379328
100,ma,18.0,none,27.77283349656003,18.69201409220362,40.024341578205465,0.999164999589825,0.0
100,ma,18.0,bandpass,17.621631317736075,14.63878684020711,21.11568447328484,0.9913541668494154,-10.151202178823954
100,ma,18.0,wavelet,21.91076146350784,19.072947393544815,23.899077223922625,0.9967797183525045,-5.86207203305219
100,ma,12.0,none,21.801764687904168,12.786022120556666,34.035319552893895,0.996697874825214,0.0
100,ma,12.0,bandpass,16.69398815926348,12.434650015591604,20.277794749121924,0.989295381246148,-5.107776528640688
100,ma,12.0,wavelet,20.34043355772979,14.038099380002636,23.18260049891539,0.9953769708616008,-1.4613311301743792
100,ma,6.0,none,15.888628821520076,7.199185272576801,28.037199273553057,0.9871143269001527,0.0
100,ma,6.0,bandpass,14.644327688059604,8.2776485447861,19.10405227858018,0.9828392091535261,-1.2443011334604712
100,ma,6.0,wavelet,16.52988242926306,8.00336663296861,22.03209445377295,0.9888831496823198,0.6412536077429856
100,ma,0.0,none,10.150235941940323,2.518724619482504,22.048176972559872,0.9517000766855518,0.0
100,ma,0.0,bandpass,10.82289867453471,3.734094315526855,17.798721041682832,0.95863051669101,0.6726627325943859
100,ma,0.0,wavelet,11.032324282643897,2.8924473898880674,19.865067517889173,0.9605780989052063,0.8820883407035733
100,ma,-6.0,none,4.980875068626319,-0.6038563843705178,16.055409747351362,0.8411883168994442,0.0
100,ma,-6.0,bandpass,6.123164705102807,0.11020730328855936,15.683975995026387,0.8779174700762087,1.1422896364764883
100,ma,-6.0,wavelet,5.602771799272796,-0.5524703539471765,16.39880102796272,0.8623764240025421,0.6218967306464771
100,em,18.0,none,25.81791992987389,21.178929909084967,30.81771065335935,0.9986902814014399,0.0
100,em,18.0,bandpass,17.61193305266744,14.69349523014489,21.223846485533173,0.9913348383214343,-8.205986877206453
100,em,18.0,wavelet,21.09345675744492,18.612395911720828,23.372423421407326,0.996112912269553,-4.7244631724289725
100,em,12.0,none,19.852259162314667,15.272562223679301,24.831362242891487,0.994826980806048,0.0
100,em,12.0,bandpass,16.197383902230797,13.191700293121077,19.659754393705054,0.9879986077303132,-3.6548752600838696
100,em,12.0,wavelet,18.25498285233767,14.447666558932932,21.48625888219918,0.9925274004382062,-1.5972763099769978
100,em,6.0,none,13.966285561499276,9.526528853664058,18.82632891354646,0.9799395160499341,0.0
100,em,6.0,bandpass,13.052718643266703,9.676752508241222,16.665086950325016,0.9752429937904604,-0.9135669182325739
100,em,6.0,wavelet,13.585251194314026,9.209788130289798,17.990744410224597,0.9780999617851501,-0.38103436718525074
100,em,0.0,none,8.384065840571317,4.305809787226926,13.014756896522277,0.9274623565975121,0.0
100,em,0.0,bandpass,8.443946853732886,5.178749831295987,12.636750885575479,0.9284556561942988,0.059881013161568575
100,em,0.0,wavelet,8.269523120539562,4.077442986195338,13.192593609990636,0.9255237683707042,-0.11454272003175525
100,em,-6.0,none,3.5559149457927672,0.44365444073974164,7.498912766008716,0.7795152862158414,0.0
100,em,-6.0,bandpass,3.893844980190287,1.1122202912040344,7.762121266981879,0.7960209593676439,0.33793003439751956
100,em,-6.0,wavelet,3.451742013690766,0.20326487357739792,7.8195849110241165,0.7741626389142151,-0.10417293210200107
