method,macro_f1,macro_f1_delta_from_clean,balanced_accuracy,balanced_accuracy_delta_from_clean
none,0.40300086957287573,0.0,0.4375287152802742,0.0
bandpass,0.28160887141435137,-0.12139199815852436,0.4761409696475591,0.03861225436728488
wavelet,0.2709700934756524,-0.13203077609722336,0.45094911117379227,0.013420395893518067
