condition,noise_type,target_snr_db,exposure,class_name,clean_trained_f1,noise_augmented_f1,f1_difference,noise_augmented_precision,noise_augmented_recall,support
clean,clean,,clean,N,0.9479270663654038,0.9106919606457574,-0.03723510571964639,0.9650921658986175,0.8620973551507667,9717
clean,clean,,clean,S,0.0526315789473684,0.0,-0.0526315789473684,0.0,0.0,199
clean,clean,,clean,V,0.5977462028417443,0.4392857142857143,-0.15846048855603,0.30966767371601206,0.7555282555282555,814
clean,clean,,clean,F,0.0136986301369863,0.03225806451612903,0.01855943437914273,0.021505376344086023,0.06451612903225806,31
bw_18db,bw,18.0,seen_snr,N,0.9495383969785984,0.9102668623294744,-0.03927153464912403,0.9645243031559548,0.8617886178861789,9717
bw_18db,bw,18.0,seen_snr,S,0.0457516339869281,0.0,-0.0457516339869281,0.0,0.0,199
bw_18db,bw,18.0,seen_snr,V,0.5988142292490118,0.43586995355484104,-0.1629442756941708,0.30730478589420657,0.7493857493857494,814
bw_18db,bw,18.0,seen_snr,F,0.015625,0.03278688524590164,0.01716188524590164,0.02197802197802198,0.06451612903225806,31
bw_12db,bw,12.0,unseen_snr,N,0.9508213874646856,0.9109566728200673,-0.03986471464461827,0.9641420526376279,0.863332304209118,9717
bw_12db,bw,12.0,unseen_snr,S,0.056782334384858,0.0,-0.056782334384858,0.0,0.0,199
bw_12db,bw,12.0,unseen_snr,V,0.587183308494784,0.43462643678160917,-0.15255687171317478,0.30710659898477155,0.7432432432432432,814
bw_12db,bw,12.0,unseen_snr,F,0.0,0.03418803418803419,0.03418803418803419,0.023255813953488372,0.06451612903225806,31
bw_6db,bw,6.0,seen_snr,N,0.9503938240050076,0.9133585722011899,-0.037035251803817726,0.9624985751738288,0.8689924873932283,9717
bw_6db,bw,6.0,seen_snr,S,0.0448179271708683,0.0,-0.0448179271708683,0.0,0.0,199
bw_6db,bw,6.0,seen_snr,V,0.5631067961165048,0.4309838472834068,-0.13212294883309805,0.30732984293193716,0.7211302211302212,814
bw_6db,bw,6.0,seen_snr,F,0.0,0.05714285714285714,0.05714285714285714,0.04054054054054054,0.0967741935483871,31
bw_0db,bw,0.0,unseen_snr,N,0.9445278914383384,0.9217530732228755,-0.0227748182154629,0.9588568886912042,0.8874138108469692,9717
bw_0db,bw,0.0,unseen_snr,S,0.0206185567010309,0.0,-0.0206185567010309,0.0,0.0,199
bw_0db,bw,0.0,unseen_snr,V,0.4896998234255444,0.4333728746540134,-0.056326948771530994,0.319533527696793,0.6732186732186732,814
bw_0db,bw,0.0,unseen_snr,F,0.0,0.04938271604938271,0.04938271604938271,0.04,0.06451612903225806,31
bw_-6db,bw,-6.0,seen_snr,N,0.936676408757627,0.9395455493016469,0.002869140544019877,0.9517474395523176,0.9276525676649171,9717
bw_-6db,bw,-6.0,seen_snr,S,0.0310296191819464,0.009852216748768473,-0.02117740243317793,0.25,0.005025125628140704,199
bw_-6db,bw,-6.0,seen_snr,V,0.3768569194683346,0.44935189630340855,0.07249497683507394,0.36879432624113473,0.5749385749385749,814
bw_-6db,bw,-6.0,seen_snr,F,0.0,0.0,0.0,0.0,0.0,31
ma_18db,ma,18.0,seen_snr,N,0.9513783938714888,0.9213929280463594,-0.029985465825129398,0.9625560538116592,0.8836060512503859,9717
ma_18db,ma,18.0,seen_snr,S,0.0566037735849056,0.0,-0.0566037735849056,0.0,0.0,199
ma_18db,ma,18.0,seen_snr,V,0.60078607523863,0.4567852952678921,-0.14400077997073796,0.33505450372920254,0.7174447174447175,814
ma_18db,ma,18.0,seen_snr,F,0.015625,0.031746031746031744,0.016121031746031744,0.021052631578947368,0.06451612903225806,31
ma_12db,ma,12.0,unseen_snr,N,0.9473299958281184,0.9289953370072065,-0.018334658820911898,0.9575095576187875,0.902130287125656,9717
ma_12db,ma,12.0,unseen_snr,S,0.0677009873060648,0.0,-0.0677009873060648,0.0,0.0,199
ma_12db,ma,12.0,unseen_snr,V,0.5536062378167641,0.4574146130566364,-0.09619162476012771,0.35290193462308206,0.6498771498771498,814
ma_12db,ma,12.0,unseen_snr,F,0.0204081632653061,0.029850746268656716,0.009442583003350616,0.019417475728155338,0.06451612903225806,31
ma_6db,ma,6.0,seen_snr,N,0.9354804977517516,0.9358199624921859,0.0003394647404343365,0.9475683088933432,0.9243593701759802,9717
ma_6db,ma,6.0,seen_snr,S,0.0540037243947858,0.0,-0.0540037243947858,0.0,0.0,199
ma_6db,ma,6.0,seen_snr,V,0.4566929133858268,0.43385707045108973,-0.02283584293473706,0.36928386540120794,0.5257985257985258,814
ma_6db,ma,6.0,seen_snr,F,0.0,0.027972027972027972,0.027972027972027972,0.017857142857142856,0.06451612903225806,31
ma_0db,ma,0.0,unseen_snr,N,0.923663723287528,0.9451303857779599,0.021466662490431943,0.9410324423587023,0.9492641761860656,9717
ma_0db,ma,0.0,unseen_snr,S,0.0633750921149594,0.00851063829787234,-0.05486445381708706,0.027777777777777776,0.005025125628140704,199
