noise_type,target_snr_db,method,class_name,precision,recall,f1,support,f1_recovery_vs_none
bw,0.0,none,V,0.47005649717514125,0.5110565110565111,0.4896998234255444,814,0.0
bw,0.0,none,F,0.0,0.0,0.0,31,0.0
bw,0.0,bandpass,N,0.991499911457411,0.5762066481424308,0.7288466545170529,9717,-0.2156812369212855
bw,0.0,bandpass,S,0.034782608695652174,0.04020100502512563,0.037296037296037296,199,0.01667748059500637
bw,0.0,bandpass,V,0.2194919933738266,0.9766584766584766,0.35843101893597834,814,-0.13126880448956607
bw,0.0,bandpass,F,0.00792393026941363,0.3225806451612903,0.015467904098994586,31,0.015467904098994586
bw,0.0,wavelet,N,0.990159901599016,0.5799114953174849,0.7314382139148494,9717,-0.21308967752348895
bw,0.0,wavelet,S,0.0297029702970297,0.01507537688442211,0.02,199,-0.000618556701030927
bw,0.0,wavelet,V,0.19919314170448815,0.9705159705159705,0.3305439330543933,814,-0.15915589037115113
bw,0.0,wavelet,F,0.006979062811565304,0.22580645161290322,0.013539651837524178,31,0.013539651837524178
bw,-6.0,none,N,0.9333742080523196,0.9400020582484306,0.936676408757627,9717,0.0
bw,-6.0,none,S,0.021568627450980392,0.05527638190954774,0.031029619181946404,199,0.0
bw,-6.0,none,V,0.5182795698924731,0.29606879606879605,0.37685691946833466,814,0.0
bw,-6.0,none,F,0.0,0.0,0.0,31,0.0
bw,-6.0,bandpass,N,0.9898486197684773,0.5719872388597304,0.7250195669188625,9717,-0.21165684183876454
bw,-6.0,bandpass,S,0.02185792349726776,0.06030150753768844,0.03208556149732621,199,0.0010559423153798028
bw,-6.0,bandpass,V,0.22157940410760776,0.941031941031941,0.35869819714352613,814,-0.01815872232480853
bw,-6.0,bandpass,F,0.008771929824561403,0.3225806451612903,0.017079419299743808,31,0.017079419299743808
bw,-6.0,wavelet,N,0.98584041312677,0.6090357106102706,0.7529262086513995,9717,-0.18375020010622756
bw,-6.0,wavelet,S,0.008130081300813009,0.005025125628140704,0.006211180124223602,199,-0.024818439057722803
bw,-6.0,wavelet,V,0.18379301928240177,0.9250614250614251,0.306658521686011,814,-0.07019839778232367
bw,-6.0,wavelet,F,0.00929368029739777,0.16129032258064516,0.01757469244288225,31,0.01757469244288225
ma,18.0,none,N,0.9636824324324325,0.9393845837192549,0.9513783938714889,9717,0.0
ma,18.0,none,S,0.05333333333333334,0.06030150753768844,0.05660377358490566,199,0.0
ma,18.0,none,V,0.5532574974146846,0.6572481572481572,0.60078607523863,814,0.0
ma,18.0,none,F,0.010309278350515464,0.03225806451612903,0.015625,31,0.0
ma,18.0,bandpass,N,0.9919930374238468,0.5864978902953587,0.7371620747639374,9717,-0.21421631910755157
ma,18.0,bandpass,S,0.05063291139240506,0.06030150753768844,0.05504587155963303,199,-0.001557902025272631
ma,18.0,bandpass,V,0.23164335664335664,0.9766584766584766,0.37447008949599625,814,-0.22631598574263379
ma,18.0,bandpass,F,0.007423904974016332,0.3225806451612903,0.01451378809869376,31,-0.0011112119013062405
ma,18.0,wavelet,N,0.9899932157394844,0.6006998044663991,0.7477102414654455,9717,-0.2036681524060434
ma,18.0,wavelet,S,0.019801980198019802,0.010050251256281407,0.013333333333333334,199,-0.043270440251572326
ma,18.0,wavelet,V,0.23230543318649047,0.9717444717444718,0.37497037212609624,814,-0.2258157031125338
ma,18.0,wavelet,F,0.005886681383370125,0.25806451612903225,0.011510791366906475,31,-0.004114208633093525
ma,12.0,none,N,0.9602494978327519,0.9347535247504374,0.9473299958281185,9717,0.0
ma,12.0,none,S,0.047058823529411764,0.12060301507537688,0.06770098730606489,199,0.0
ma,12.0,none,V,0.5875862068965517,0.5233415233415234,0.5536062378167641,814,0.0
ma,12.0,none,F,0.014925373134328358,0.03225806451612903,0.02040816326530612,31,0.0
ma,12.0,bandpass,N,0.9894082044384667,0.6056396006998045,0.7513565272901372,9717,-0.19597346853798125
ma,12.0,bandpass,S,0.04375,0.10552763819095477,0.061855670103092786,199,-0.0058453172029721
ma,12.0,bandpass,V,0.24265644955300128,0.9336609336609336,0.3852002027369488,814,-0.16840603507981527
ma,12.0,bandpass,F,0.00832639467110741,0.3225806451612903,0.016233766233766232,31,-0.004174397031539889
ma,12.0,wavelet,N,0.9829180379250901,0.6454667078316353,0.7792272331966704,9717,-0.16810276263144808
ma,12.0,wavelet,S,0.03985507246376811,0.05527638190954774,0.04631578947368421,199,-0.021385197832380673
ma,12.0,wavelet,V,0.2465707594513215,0.9054054054054054,0.3875887457270576,814,-0.1660174920897065
ma,12.0,wavelet,F,0.006278026905829596,0.22580645161290322,0.012216404886561954,31,-0.008191758378744167
ma,6.0,none,N,0.9507917950898076,0.9206545230009262,0.9354804977517516,9717,0.0
ma,6.0,none,S,0.03314285714285714,0.1457286432160804,0.054003724394785846,199,0.0
ma,6.0,none,V,0.6359649122807017,0.35626535626535627,0.4566929133858268,814,0.0
ma,6.0,none,F,0.0,0.0,0.0,31,0.0
ma,6.0,bandpass,N,0.9852551358515573,0.6120201708346198,0.7550307877864534,9717,-0.1804497099652982
ma,6.0,bandpass,S,0.03523238380809595,0.23618090452261306,0.06131767775603392,199,0.007313953361248071
ma,6.0,bandpass,V,0.2565252854812398,0.7727272727272727,0.3851806491120637,814,-0.07151226427376312
ma,6.0,bandpass,F,0.009584664536741214,0.2903225806451613,0.018556701030927835,31,0.018556701030927835
ma,6.0,wavelet,N,0.9713957165444875,0.6954821446948647,0.8106033345328055,9717,-0.12487716321894604
ma,6.0,wavelet,S,0.030215827338129497,0.10552763819095477,0.04697986577181208,199,-0.007023858622973764
ma,6.0,wavelet,V,0.2564102564102564,0.7248157248157249,0.37881219903691815,814,-0.07788071434890864
ma,6.0,wavelet,F,0.006188118811881188,0.16129032258064516,0.011918951132300357,31,0.011918951132300357
ma,0.0,none,N,0.9381235406495436,0.9096428938972934,0.9236637232875281,9717,0.0
ma,0.0,none,S,0.037132987910189985,0.21608040201005024,0.06337509211495947,199,0.0
ma,0.0,none,V,0.7541899441340782,0.16584766584766586,0.2719033232628399,814,0.0
ma,0.0,none,F,0.0,0.0,0.0,31,0.0
ma,0.0,bandpass,N,0.9731261129998381,0.6186065658124935,0.7563860576318108,9717,-0.16727766565571733
ma,0.0,bandpass,S,0.026006711409395974,0.31155778894472363,0.048006194347657766,199,-0.0153688977673017
ma,0.0,bandpass,V,0.2807570977917981,0.5466830466830467,0.3709879116298458,814,0.0990845883670059
ma,0.0,bandpass,F,0.011382113821138212,0.22580645161290322,0.021671826625386997,31,0.021671826625386997
ma,0.0,wavelet,N,0.9582685329186107,0.7609344447874858,0.8482762576722308,9717,-0.0753874656152973
ma,0.0,wavelet,S,0.024255788313120176,0.11055276381909548,0.039783001808318265,199,-0.0235920903066412
ma,0.0,wavelet,V,0.2699460107978404,0.5528255528255528,0.36275695284159615,814,0.09085362957875626
ma,0.0,wavelet,F,0.010615711252653927,0.16129032258064516,0.0199203187250996,31,0.0199203187250996
ma,-6.0,none,N,0.9301127214170692,0.8916332201296696,0.9104665825977302,9717,0.0
ma,-6.0,none,S,0.039444850255661065,0.271356783919598,0.06887755102040816,199,0.0
ma,-6.0,none,V,0.7532467532467533,0.07125307125307126,0.13019079685746351,814,0.0
ma,-6.0,none,F,0.0,0.0,0.0,31,0.0
ma,-6.0,bandpass,N,0.9595141700404858,0.6341463414634146,0.7636160852593098,9717,-0.14685049733842037
ma,-6.0,bandpass,S,0.027896995708154508,0.457286432160804,0.052585957815660216,199,-0.01629159320474794
ma,-6.0,bandpass,V,0.3460526315789474,0.3230958230958231,0.3341804320203304,814,0.20398963516286686
ma,-6.0,bandpass,F,0.01892744479495268,0.1935483870967742,0.034482758620689655,31,0.034482758620689655
ma,-6.0,wavelet,N,0.9434343434343434,0.8170217145209426,0.8756893889256563,9717,-0.03477719367207388
ma,-6.0,wavelet,S,0.03128258602711158,0.1507537688442211,0.05181347150259067,199,-0.017064079517817486
ma,-6.0,wavelet,V,0.2623089983022071,0.3796068796068796,0.3102409638554217,814,0.1800501669979582
ma,-6.0,wavelet,F,0.014354066985645933,0.0967741935483871,0.025,31,0.025
em,18.0,none,N,0.9670075882547015,0.9049089225069465,0.9349282296650717,9717,0.0
em,18.0,none,S,0.053763440860215055,0.05025125628140704,0.05194805194805195,199,0.0
em,18.0,none,V,0.4357298474945534,0.7371007371007371,0.5476951163852122,814,0.0
em,18.0,none,F,0.009523809523809525,0.03225806451612903,0.014705882352941176,31,0.0
em,18.0,bandpass,N,0.9931221719457014,0.5646804569311515,0.7199842540349035,9717,-0.2149439756301682
em,18.0,bandpass,S,0.015789473684210527,0.01507537688442211,0.015424164524421594,199,-0.03652388742363036
em,18.0,bandpass,V,0.21305386044043512,0.9864864864864865,0.3504254854898538,814,-0.19726963089535837
em,18.0,bandpass,F,0.007830853563038372,0.3225806451612903,0.01529051987767584,31,0.0005846375247346644
em,18.0,wavelet,N,0.9915425629711344,0.5550066893073994,0.711665347057271,9717,-0.2232628826078007
em,18.0,wavelet,S,0.0,0.0,0.0,199,-0.05194805194805195
em,18.0,wavelet,V,0.21335461558925245,0.9852579852579852,0.35075442816531816,814,-0.19694068821989402
em,18.0,wavelet,F,0.005521048999309869,0.25806451612903225,0.010810810810810811,31,-0.003895071542130365
em,12.0,none,N,0.9621714285714286,0.8664196768549964,0.9117885958737207,9717,0.0
em,12.0,none,S,0.024336283185840708,0.05527638190954774,0.03379416282642089,199,0.0
em,12.0,none,V,0.3761031907671419,0.6805896805896806,0.4844774814167031,814,0.0
em,12.0,none,F,0.011627906976744186,0.03225806451612903,0.017094017094017096,31,0.0
em,12.0,bandpass,N,0.9929844520288206,0.5389523515488319,0.6986858781935829,9717,-0.2131027176801379
em,12.0,bandpass,S,0.029304029304029304,0.04020100502512563,0.03389830508474576,199,0.00010414225832486995
em,12.0,bandpass,V,0.20298281092012133,0.9864864864864865,0.3366876310272537,814,-0.14778985038944942
em,12.0,bandpass,F,0.00794912559618442,0.3225806451612903,0.015515903801396431,31,-0.0015781132926206646
em,12.0,wavelet,N,0.9905105333080281,0.5370999279613049,0.6965167489657014,9717,-0.21527184690801937
em,12.0,wavelet,S,0.0,0.0,0.0,199,-0.03379416282642089
em,12.0,wavelet,V,0.20752269779507135,0.9828009828009828,0.34268579995716425,814,-0.14179168145953885
em,12.0,wavelet,F,0.005772005772005772,0.25806451612903225,0.011291460832745237,31,-0.005802556261271859
