configuration,seed,condition,noise_type,target_snr_db,exposure,macro_f1,balanced_accuracy
clean_rr,123,em_18db,em,18.0,seen_snr,0.3905490138455404,0.37072803127897214
clean_rr,2026,em_18db,em,18.0,seen_snr,0.3579492654052692,0.45611086949078633
noise_augmented_rr,42,em_18db,em,18.0,seen_snr,0.34650134437129454,0.4181620646168147
noise_augmented_rr,123,em_18db,em,18.0,seen_snr,0.35597248850063307,0.43560469402432805
noise_augmented_rr,2026,em_18db,em,18.0,seen_snr,0.37809236561356563,0.3930704224390547
clean_rr,42,em_12db,em,12.0,unseen_snr,0.36178856430271544,0.4086359509675884
clean_rr,123,em_12db,em,12.0,unseen_snr,0.3857721001664489,0.37415493896377783
clean_rr,2026,em_12db,em,12.0,unseen_snr,0.35785261920574074,0.4521460206766913
noise_augmented_rr,42,em_12db,em,12.0,unseen_snr,0.34601026817731745,0.4120018901562389
noise_augmented_rr,123,em_12db,em,12.0,unseen_snr,0.3493276835755058,0.4274421231006298
noise_augmented_rr,2026,em_12db,em,12.0,unseen_snr,0.3660348521358934,0.38450947439061056
clean_rr,42,em_6db,em,6.0,seen_snr,0.32987981812539063,0.37471846811110276
clean_rr,123,em_6db,em,6.0,seen_snr,0.37286457547933505,0.38286011312489426
clean_rr,2026,em_6db,em,6.0,seen_snr,0.3394945494303272,0.42206611886808953
noise_augmented_rr,42,em_6db,em,6.0,seen_snr,0.33679086651592643,0.38283419585394507
noise_augmented_rr,123,em_6db,em,6.0,seen_snr,0.33778120327037586,0.4054673915048188
noise_augmented_rr,2026,em_6db,em,6.0,seen_snr,0.3492333220528082,0.36272446981770845
clean_rr,42,em_0db,em,0.0,unseen_snr,0.29255249106980763,0.34806075596105557
clean_rr,123,em_0db,em,0.0,unseen_snr,0.31395844949177065,0.3618466080122153
clean_rr,2026,em_0db,em,0.0,unseen_snr,0.32237215564317645,0.38660752144580673
noise_augmented_rr,42,em_0db,em,0.0,unseen_snr,0.32574848736819895,0.3459249604484501
noise_augmented_rr,123,em_0db,em,0.0,unseen_snr,0.3304559886196371,0.3737879347287496
noise_augmented_rr,2026,em_0db,em,0.0,unseen_snr,0.3343611132106657,0.3368085871945088
clean_rr,42,em_-6db,em,-6.0,seen_snr,0.25095978780656714,0.31926974302851063
clean_rr,123,em_-6db,em,-6.0,seen_snr,0.2639510997466391,0.3344046138337524
clean_rr,2026,em_-6db,em,-6.0,seen_snr,0.2779193208179155,0.3282207642939211
noise_augmented_rr,42,em_-6db,em,-6.0,seen_snr,0.319663670342368,0.32290308117208133
noise_augmented_rr,123,em_-6db,em,-6.0,seen_snr,0.3236244617058773,0.3408212556662044
noise_augmented_rr,2026,em_-6db,em,-6.0,seen_snr,0.3179441957219735,0.3107978519370924
