condition,noise_type,target_snr_db,exposure,clean_macro_f1_mean,clean_macro_f1_std,noise_aug_macro_f1_mean,noise_aug_macro_f1_std,paired_difference_mean,paired_difference_std,noise_aug_better_seeds,total_seeds
clean,clean,,clean,0.3847282462106982,0.019219772484738853,0.3650240974767042,0.022946216208780307,-0.01970414873399397,0.042060374946825095,1,3
bw_18db,bw,18.0,seen_snr,0.38492149249258345,0.019037212271582924,0.3679912220471084,0.022952057407941696,-0.01693027044547511,0.041873317058076266,1,3
bw_12db,bw,12.0,unseen_snr,0.383897673461963,0.01604797252729169,0.3677150557402147,0.0221116883533006,-0.0161826177217483,0.038014903009883666,1,3
bw_6db,bw,6.0,seen_snr,0.37533024647342517,0.014467687151865935,0.36344893302315534,0.016912882529653894,-0.0118813134502699,0.03105797793042991,1,3
bw_0db,bw,0.0,unseen_snr,0.3641196765023777,0.0012889594050399876,0.3559774670981047,0.012996635279804183,-0.008142209404272996,0.014074647606516942,1,3
bw_-6db,bw,-6.0,seen_snr,0.33901524766376084,0.002507727899001468,0.3451365938970304,0.012834968531856332,0.006121346233269598,0.013537126725895316,2,3
ma_18db,ma,18.0,seen_snr,0.37994845019649004,0.02489942794917213,0.3653784078917561,0.017206894548861113,-0.014570042304733946,0.04114478082666825,1,3
ma_12db,ma,12.0,unseen_snr,0.3782778842211434,0.0169779034022973,0.3616550856740706,0.014082931241660903,-0.016622798547072753,0.028430588178967448,1,3
ma_6db,ma,6.0,seen_snr,0.3566020598960315,0.004292619806903749,0.3518196316527353,0.012172635446181848,-0.004782428243296277,0.01386747380350994,1,3
ma_0db,ma,0.0,unseen_snr,0.3303256562458809,0.015627277395120914,0.3443305120641626,0.009856468051701473,0.014004855818281647,0.017498486868743984,3,3
ma_-6db,ma,-6.0,seen_snr,0.29506077970334094,0.019911598224152578,0.3382556018958804,0.01239271955223565,0.043194822192539416,0.03133807563609511,3,3
em_18db,em,18.0,seen_snr,0.3786058664462096,0.01796187922700742,0.36018873282849767,0.016212053940096366,-0.018417133617711873,0.033539642965044594,1,3
em_12db,em,12.0,unseen_snr,0.3684710945583017,0.015111800430175614,0.35379093462957223,0.010732494964230484,-0.014680159928729489,0.022333582095120874,1,3
em_6db,em,6.0,seen_snr,0.34741298101168433,0.022559887194439708,0.3412684639463701,0.006915519880209458,-0.006144517065314122,0.025101633589303243,2,3
em_0db,em,0.0,unseen_snr,0.30962769873491824,0.01537431788423604,0.3301885297328339,0.004312537729420928,0.02056083099791567,0.011172169822796342,3,3
em_-6db,em,-6.0,seen_snr,0.2642767361237072,0.01348271613344462,0.3204107759234063,0.002912898981064642,0.05613403979969902,0.014663439933969933,3,3
