condition,noise_type,target_snr_db,exposure,class_name,clean_f1_mean,clean_f1_std,noise_aug_f1_mean,noise_aug_f1_std,paired_difference_mean,paired_difference_std,noise_aug_better_seeds,total_seeds
bw_6db,bw,6.0,seen_snr,S,0.03226230647297679,0.019912998828543457,0.0029239766081871343,0.0050644760455230324,-0.029338329864789653,0.01819093517312241,0,3
bw_6db,bw,6.0,seen_snr,V,0.511514030962675,0.04616094567285829,0.47136423139188693,0.08413291962299219,-0.04014979957078805,0.11878084714124244,1,3
bw_6db,bw,6.0,seen_snr,F,0.016666666666666666,0.02886751345948129,0.05476190476190476,0.05361109642475096,0.03809523809523809,0.0802843585718446,2,3
bw_0db,bw,0.0,unseen_snr,N,0.9376711202553792,0.0222348631612824,0.9268313777783215,0.030714331329707346,-0.010839742477057657,0.05284576864072802,1,3
bw_0db,bw,0.0,unseen_snr,S,0.021444096592155376,0.003743944110437194,0.002824858757062147,0.0048927988914375066,-0.01861923783509323,0.0018204588750205097,0,3
bw_0db,bw,0.0,unseen_snr,V,0.4563281356266226,0.03469555251462793,0.451126059840574,0.0648838426202379,-0.0052020757860485696,0.062306967693998204,1,3
bw_0db,bw,0.0,unseen_snr,F,0.041035353535353536,0.03555027329621487,0.04312757201646091,0.04036514734463939,0.002092218481107369,0.05791327738572431,2,3
bw_-6db,bw,-6.0,seen_snr,N,0.9345066193322378,0.010562430408539616,0.932701717596541,0.02835790553343258,-0.0018049017356968067,0.03833982959583394,2,3
bw_-6db,bw,-6.0,seen_snr,S,0.032161663506556894,0.01595111925440954,0.008168077133594374,0.007469780988975653,-0.02399358637296252,0.00893428406070997,0,3
bw_-6db,bw,-6.0,seen_snr,V,0.3685593744829154,0.059213097591694436,0.42578769196909755,0.05334507519841361,0.0572283174861821,0.016273512480949014,3,3
bw_-6db,bw,-6.0,seen_snr,F,0.020833333333333332,0.036084391824351615,0.013888888888888888,0.024056261216234408,-0.006944444444444445,0.012028130608117206,0,3
ma_18db,ma,18.0,seen_snr,N,0.9411783547114686,0.029448138735693494,0.9270388035320577,0.0339460305766702,-0.01413955117941105,0.06319213712793936,1,3
